	time	title	summary	link	source
36	1488158543	judge joseph of the peoples court dies	judge joseph of the popular reality television program the peoples court died at age number on sunday at his home in angeles california according to his son angeles county judge fred he died of natural causes	http://rss.cnn.com/~r/rss/cnn_us/~3/ZEbGVC6pFWc/index.html	CNNUS
37	1488217365	actor bill dies	actor bill whose extensive career included films such as twister aliens and titanic has died a representative for his family said in a statement he was number	http://rss.cnn.com/~r/rss/cnn_us/~3/gjnhUDzrUDI/index.html	CNNUS
38	1488200586	yes we can elect president of france	could france elect president not really but thats not stopping the organizers of number a guerrilla campaign trying to entice the former us president to head to paris	http://rss.cnn.com/~r/rss/cnn_us/~3/l0xJ2FGJWrQ/index.html	CNNUS
39	1488043534	crowds gather as goes on new york coffee run	hundreds of cheering onlookers got a glimpse of former president friday in new york city as he left a fifth avenue building after grabbing coffee	http://rss.cnn.com/~r/rss/cnn_us/~3/9ocH34r1vpU/index.html	CNNUS
40	1488053655	opinion how trumps privilege makes him blind to bigotry	why is the president widening divisions not healing them his failure to recognize his prejudices comes from him being isolated by wealth and power his whole life writes michael	http://rss.cnn.com/~r/rss/cnn_us/~3/HMGhfpz_kw8/index.html	CNNUS
41	1488006050	prosecutors question mayor in federal probe	federal prosecutors interviewed new york mayor bill de on friday in relation to an ongoing investigation his press secretary said in a statement	http://rss.cnn.com/~r/rss/cnn_us/~3/IzJGzRAb4-4/index.html	CNNUS
42	1487959503	are recreational marijuana and addiction linked	as white house press secretary spicer spoke thursday about greater enforcement of federal marijuana laws he seemed to link recreational pot use to a different type of drug	http://rss.cnn.com/~r/rss/cnn_us/~3/rpFdpWqUJ30/index.html	CNNUS
43	1488160005	network readies homes to hide undocumented immigrants	a hammer pounds away in the living room of a middle class home a sanding machine smoothes the grain of the wood floor in the dining room	http://rss.cnn.com/~r/rss/cnn_us/~3/f5zK8m9y5ps/index.html	CNNUS
44	1487954386	army veteran starts fight club to help others with	was serving in the us army when the september number attacks occurred	http://rss.cnn.com/~r/rss/cnn_us/~3/KkBlamohqbg/index.html	CNNUS
45	1488156038	navy secretary nominee withdraws	president donald trumps nominee for navy secretary philip has withdrawn his name from consideration	http://rss.cnn.com/~r/rss/cnn_us/~3/AU3zOwbrOgM/index.html	CNNUS
46	1488191845	spicer checks aides phones for leaks	white house press secretary spicer recently checked his aides cell phones to ensure they werent communicating with reporters as part of an aggressive effort to stem the recent tide of white house leaks	http://rss.cnn.com/~r/rss/cnn_us/~3/9HG3j0fjNVw/index.html	CNNUS
